date,description,amount,category,notes
2023-02-06,WALGREENS,15.99,Healthcare,Medicine
2023-02-07,CHEVRON,42.30,Transportation,Gas
2023-02-08,REGAL CINEMAS,28.00,Entertainment,Movie
2023-02-09,EXPEDIA,350.00,Travel,Flight booking
2023-02-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-02-11,SPROUTS FARMERS MARKET,78.90,Groceries,Organic food
2023-02-12,ALLSTATE INSURANCE,95.00,Insurance,Home insurance
2023-02-13,SUPERCUTS,22.00,Personal Care,Haircut
2023-02-14,SAVE THE CHILDREN,35.00,Gifts & Donations,Charity
2023-02-15,FIDELITY INVESTMENTS,750.00,Investments,Retirement
2023-02-16,YOUTUBE PREMIUM,11.99,Subscriptions,Video service
2023-02-17,FEDERAL TAX PAYMENT,1500.00,Taxes,Federal taxes
2023-02-18,OFFICEMAX,55.67,Business Expenses,Office supplies
2023-02-19,BANK OVERDRAFT FEE,35.00,Fees & Charges,Overdraft
2023-02-20,SAMS CLUB,120.45,Groceries,Bulk items
2023-02-21,PROGRESSIVE INSURANCE,75.00,Insurance,Car insurance
2023-02-22,NAIL SALON,45.00,Personal Care,Manicure
2023-02-23,DOCTORS WITHOUT BORDERS,40.00,Gifts & Donations,Charity
2023-02-24,VANGUARD INVESTMENTS,2000.00,Investments,Index fund
2023-02-25,HBO MAX,14.99,Subscriptions,Streaming service
2023-02-26,LOCAL TAX PAYMENT,250.00,Taxes,Property tax
2023-02-27,AMAZON BUSINESS,120.89,Business Expenses,Office equipment
2023-02-28,WIRE TRANSFER FEE,25.00,Fees & Charges,International transfer
2023-03-01,AMAZON FRESH,85.67,Groceries,Grocery delivery
2023-03-02,DOORDASH,45.50,Food & Dining,Food delivery
2023-03-03,PEACOCK TV,4.99,Subscriptions,Streaming service
2023-03-04,ALDI,55.34,Groceries,Weekly shopping
2023-03-05,WATER BILL,45.67,Utilities,Water service
2023-03-06,CVS MINUTE CLINIC,85.00,Healthcare,Doctor visit
2023-03-07,EXXON,38.90,Transportation,Gas
2023-03-08,CINEMARK,26.50,Entertainment,Movie
2023-03-09,BOOKING.COM,280.00,Travel,Hotel booking
2023-03-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-03-11,TRADER JOE'S,92.45,Groceries,Weekly shopping
2023-03-12,LIBERTY MUTUAL,110.00,Insurance,Car insurance
2023-03-13,SPORT CLIPS,28.00,Personal Care,Haircut
2023-03-14,AMERICAN RED CROSS,30.00,Gifts & Donations,Charity
2023-03-15,SCHWAB INVESTMENTS,1500.00,Investments,Stock purchase
2023-03-16,APPLE TV+,4.99,Subscriptions,Streaming service
2023-03-17,QUARTERLY TAX PAYMENT,1800.00,Taxes,Quarterly taxes
2023-03-18,AMAZON OFFICE,67.89,Business Expenses,Office supplies
2023-03-19,ATM FEE,2.50,Fees & Charges,ATM withdrawal
2023-03-20,COSTCO,135.67,Groceries,Bulk shopping
2023-03-21,STATE FARM,95.00,Insurance,Home insurance
2023-03-22,MASSAGE ENVY,65.00,Personal Care,Massage
2023-03-23,UNICEF,20.00,Gifts & Donations,Charity
2023-03-24,TD AMERITRADE,2000.00,Investments,Stock investment
2023-03-25,NETFLIX,14.99,Subscriptions,Streaming service
2023-03-26,STATE TAXES,350.00,Taxes,State taxes
2023-03-27,STAPLES,45.67,Business Expenses,Office supplies
2023-03-28,CREDIT CARD ANNUAL FEE,95.00,Fees & Charges,Annual fee
2023-03-29,AMAZON PRIME,12.99,Subscriptions,Prime membership
2023-03-30,UBER,22.50,Transportation,Ride
2023-03-31,SPOTIFY,9.99,Subscriptions,Music service
2023-04-01,AMAZON,65.78,Shopping,Online purchase
2023-04-02,GRUBHUB,38.50,Food & Dining,Food delivery
2023-04-03,DISNEY+,7.99,Subscriptions,Streaming service
2023-04-04,WHOLE FOODS,95.67,Groceries,Organic food
2023-04-05,COMCAST,79.99,Utilities,Internet bill
2023-04-06,WALGREENS,25.99,Healthcare,Medicine
2023-04-07,SHELL,42.30,Transportation,Gas
2023-04-08,AMC,24.50,Entertainment,Movie
2023-04-09,AIRBNB,175.00,Travel,Weekend stay
2023-04-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-04-11,TRADER JOE'S,85.34,Groceries,Weekly shopping
2023-04-12,GEICO,85.00,Insurance,Car insurance
2023-04-13,GREAT CLIPS,25.00,Personal Care,Haircut
2023-04-14,RED CROSS,50.00,Gifts & Donations,Charity
2023-04-15,ROBINHOOD,1000.00,Investments,Stock purchase
2023-04-16,APPLE MUSIC,9.99,Subscriptions,Music service
2023-04-17,IRS,1200.00,Taxes,Quarterly taxes
2023-04-18,OFFICE DEPOT,55.67,Business Expenses,Office supplies
2023-04-19,ATM FEE,3.00,Fees & Charges,ATM withdrawal
2023-04-20,COSTCO,150.89,Groceries,Bulk shopping
2023-04-21,STATE FARM,120.00,Insurance,Home insurance
2023-04-22,SPA,75.00,Personal Care,Massage
2023-04-23,UNICEF,25.00,Gifts & Donations,Charity
2023-04-24,ETRADE,1500.00,Investments,Stock investment
2023-04-25,HBO MAX,14.99,Subscriptions,Streaming service
2023-04-26,STATE TAXES,450.00,Taxes,State taxes
2023-04-27,STAPLES,89.99,Business Expenses,Office supplies
2023-04-28,CREDIT CARD FEE,15.00,Fees & Charges,Annual fee
2023-04-29,AMAZON PRIME,12.99,Subscriptions,Prime membership
2023-04-30,LYFT,18.75,Transportation,Ride
2023-05-01,AMAZON,49.99,Shopping,Online purchase
2023-05-02,UBER EATS,32.50,Food & Dining,Food delivery
2023-05-03,NETFLIX,14.99,Subscriptions,Streaming service
2023-05-04,SAFEWAY,65.78,Groceries,Weekly shopping
2023-05-05,PG&E,85.45,Utilities,Electric bill
2023-05-06,CVS,15.99,Healthcare,Medicine
2023-05-07,CHEVRON,42.30,Transportation,Gas
2023-05-08,REGAL,28.00,Entertainment,Movie
2023-05-09,EXPEDIA,350.00,Travel,Flight booking
2023-05-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-05-11,SPROUTS,78.90,Groceries,Organic food
2023-05-12,ALLSTATE,95.00,Insurance,Car insurance
2023-05-13,SUPERCUTS,22.00,Personal Care,Haircut
2023-05-14,SAVE THE CHILDREN,35.00,Gifts & Donations,Charity
2023-05-15,FIDELITY,750.00,Investments,Retirement
2023-05-16,YOUTUBE,11.99,Subscriptions,Video service
2023-05-17,FEDERAL TAXES,1500.00,Taxes,Federal taxes
2023-05-18,OFFICEMAX,55.67,Business Expenses,Office supplies
2023-05-19,BANK FEE,35.00,Fees & Charges,Overdraft
2023-05-20,SAMS CLUB,120.45,Groceries,Bulk items
2023-05-21,PROGRESSIVE,75.00,Insurance,Car insurance
2023-05-22,NAIL SALON,45.00,Personal Care,Manicure
2023-05-23,DOCTORS WITHOUT BORDERS,40.00,Gifts & Donations,Charity
2023-05-24,VANGUARD,2000.00,Investments,Index fund
2023-05-25,HBO MAX,14.99,Subscriptions,Streaming service
2023-05-26,LOCAL TAXES,250.00,Taxes,Property tax
2023-05-27,AMAZON BUSINESS,120.89,Business Expenses,Office equipment
2023-05-28,WIRE FEE,25.00,Fees & Charges,International transfer
2023-05-29,AMAZON FRESH,85.67,Groceries,Grocery delivery
2023-05-30,DOORDASH,45.50,Food & Dining,Food delivery
2023-05-31,PEACOCK,4.99,Subscriptions,Streaming service
2023-06-01,AMAZON,49.99,Shopping,Online purchase
2023-06-02,UBER,15.50,Transportation,Work commute
2023-06-03,NETFLIX,14.99,Subscriptions,Monthly subscription
2023-06-04,TRADER JOE'S,85.23,Groceries,Weekly groceries
2023-06-05,COMCAST,79.99,Utilities,Internet bill
2023-06-06,CVS,32.45,Healthcare,Prescription
2023-06-07,SHELL,45.00,Transportation,Gas fill-up
2023-06-08,AMC,24.50,Entertainment,Movie night
2023-06-09,AIRBNB,125.00,Travel,Weekend getaway
2023-06-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-06-11,WHOLE FOODS,92.34,Groceries,Organic groceries
2023-06-12,STATE FARM,120.00,Insurance,Car insurance
2023-06-13,GREAT CLIPS,25.00,Personal Care,Haircut
2023-06-14,RED CROSS,50.00,Gifts & Donations,Monthly donation
2023-06-15,ROBINHOOD,500.00,Investments,Stock purchase
2023-06-16,SPOTIFY,9.99,Subscriptions,Music subscription
2023-06-17,IRS,1200.00,Taxes,Quarterly taxes
2023-06-18,OFFICE DEPOT,45.67,Business Expenses,Office supplies
2023-06-19,BANK ATM,3.00,Fees & Charges,ATM withdrawal
2023-06-20,COSTCO,150.89,Groceries,Bulk shopping
2023-06-21,GEICO,85.00,Insurance,Car insurance
2023-06-22,SPA,75.00,Personal Care,Massage
2023-06-23,UNICEF,25.00,Gifts & Donations,Charity
2023-06-24,ETRADE,1000.00,Investments,Stock investment
2023-06-25,DISNEY+,7.99,Subscriptions,Streaming service
2023-06-26,STATE TAXES,450.00,Taxes,State taxes
2023-06-27,STAPLES,89.99,Business Expenses,Office supplies
2023-06-28,CREDIT CARD,15.00,Fees & Charges,Annual fee
2023-06-29,AMAZON PRIME,12.99,Subscriptions,Prime membership
2023-06-30,LYFT,18.75,Transportation,Airport ride
2023-07-01,AMAZON,75.45,Shopping,Electronics
2023-07-02,UBER EATS,32.50,Food & Dining,Food delivery
2023-07-03,HULU,6.99,Subscriptions,Streaming service
2023-07-04,SAFEWAY,65.78,Groceries,Weekly shopping
2023-07-05,PG&E,85.45,Utilities,Electric bill
2023-07-06,WALGREENS,15.99,Healthcare,Medicine
2023-07-07,CHEVRON,42.30,Transportation,Gas
2023-07-08,REGAL,28.00,Entertainment,Movie
2023-07-09,EXPEDIA,350.00,Travel,Flight booking
2023-07-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-07-11,SPROUTS,78.90,Groceries,Organic food
2023-07-12,ALLSTATE,95.00,Insurance,Home insurance
2023-07-13,SUPERCUTS,22.00,Personal Care,Haircut
2023-07-14,SAVE THE CHILDREN,35.00,Gifts & Donations,Charity
2023-07-15,FIDELITY,750.00,Investments,Retirement
2023-07-16,YOUTUBE,11.99,Subscriptions,Video service
2023-07-17,FEDERAL TAXES,1500.00,Taxes,Federal taxes
2023-07-18,OFFICEMAX,55.67,Business Expenses,Office supplies
2023-07-19,BANK FEE,35.00,Fees & Charges,Overdraft
2023-07-20,SAMS CLUB,120.45,Groceries,Bulk items
2023-07-21,PROGRESSIVE,75.00,Insurance,Car insurance
2023-07-22,NAIL SALON,45.00,Personal Care,Manicure
2023-07-23,DOCTORS WITHOUT BORDERS,40.00,Gifts & Donations,Charity
2023-07-24,VANGUARD,2000.00,Investments,Index fund
2023-07-25,HBO MAX,14.99,Subscriptions,Streaming service
2023-07-26,LOCAL TAXES,250.00,Taxes,Property tax
2023-07-27,AMAZON BUSINESS,120.89,Business Expenses,Office equipment
2023-07-28,WIRE FEE,25.00,Fees & Charges,International transfer
2023-07-29,AMAZON FRESH,85.67,Groceries,Grocery delivery
2023-07-30,DOORDASH,45.50,Food & Dining,Food delivery
2023-07-31,PEACOCK,4.99,Subscriptions,Streaming service
2023-08-01,AMAZON,49.99,Shopping,Online purchase
2023-08-02,UBER,15.50,Transportation,Work commute
2023-08-03,NETFLIX,14.99,Subscriptions,Monthly subscription
2023-08-04,TRADER JOE'S,85.23,Groceries,Weekly groceries
2023-08-05,COMCAST,79.99,Utilities,Internet bill
2023-08-06,CVS,32.45,Healthcare,Prescription
2023-08-07,SHELL,45.00,Transportation,Gas fill-up
2023-08-08,AMC,24.50,Entertainment,Movie night
2023-08-09,AIRBNB,125.00,Travel,Weekend getaway
2023-08-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-08-11,WHOLE FOODS,92.34,Groceries,Organic groceries
2023-08-12,STATE FARM,120.00,Insurance,Car insurance
2023-08-13,GREAT CLIPS,25.00,Personal Care,Haircut
2023-08-14,RED CROSS,50.00,Gifts & Donations,Monthly donation
2023-08-15,ROBINHOOD,500.00,Investments,Stock purchase
2023-08-16,SPOTIFY,9.99,Subscriptions,Music subscription
2023-08-17,IRS,1200.00,Taxes,Quarterly taxes
2023-08-18,OFFICE DEPOT,45.67,Business Expenses,Office supplies
2023-08-19,BANK ATM,3.00,Fees & Charges,ATM withdrawal
2023-08-20,COSTCO,150.89,Groceries,Bulk shopping
2023-08-21,GEICO,85.00,Insurance,Car insurance
2023-08-22,SPA,75.00,Personal Care,Massage
2023-08-23,UNICEF,25.00,Gifts & Donations,Charity
2023-08-24,ETRADE,1000.00,Investments,Stock investment
2023-08-25,DISNEY+,7.99,Subscriptions,Streaming service
2023-08-26,STATE TAXES,450.00,Taxes,State taxes
2023-08-27,STAPLES,89.99,Business Expenses,Office supplies
2023-08-28,CREDIT CARD,15.00,Fees & Charges,Annual fee
2023-08-29,AMAZON PRIME,12.99,Subscriptions,Prime membership
2023-08-30,LYFT,18.75,Transportation,Airport ride
2023-08-31,SPOTIFY,9.99,Subscriptions,Music service
2023-09-01,AMAZON,65.78,Shopping,Online purchase
2023-09-02,GRUBHUB,38.50,Food & Dining,Food delivery
2023-09-03,DISNEY+,7.99,Subscriptions,Streaming service
2023-09-04,WHOLE FOODS,95.67,Groceries,Organic food
2023-09-05,COMCAST,79.99,Utilities,Internet bill
2023-09-06,WALGREENS,25.99,Healthcare,Medicine
2023-09-07,SHELL,42.30,Transportation,Gas
2023-09-08,AMC,24.50,Entertainment,Movie
2023-09-09,AIRBNB,175.00,Travel,Weekend stay
2023-09-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-09-11,TRADER JOE'S,85.34,Groceries,Weekly shopping
2023-09-12,GEICO,85.00,Insurance,Car insurance
2023-09-13,GREAT CLIPS,25.00,Personal Care,Haircut
2023-09-14,RED CROSS,50.00,Gifts & Donations,Charity
2023-09-15,ROBINHOOD,1000.00,Investments,Stock purchase
2023-09-16,APPLE MUSIC,9.99,Subscriptions,Music service
2023-09-17,IRS,1200.00,Taxes,Quarterly taxes
2023-09-18,OFFICE DEPOT,55.67,Business Expenses,Office supplies
2023-09-19,ATM FEE,3.00,Fees & Charges,ATM withdrawal
2023-09-20,COSTCO,150.89,Groceries,Bulk shopping
2023-09-21,STATE FARM,120.00,Insurance,Home insurance
2023-09-22,SPA,75.00,Personal Care,Massage
2023-09-23,UNICEF,25.00,Gifts & Donations,Charity
2023-09-24,ETRADE,1500.00,Investments,Stock investment
2023-09-25,HBO MAX,14.99,Subscriptions,Streaming service
2023-09-26,STATE TAXES,450.00,Taxes,State taxes
2023-09-27,STAPLES,89.99,Business Expenses,Office supplies
2023-09-28,CREDIT CARD FEE,15.00,Fees & Charges,Annual fee
2023-09-29,AMAZON PRIME,12.99,Subscriptions,Prime membership
2023-09-30,LYFT,18.75,Transportation,Ride
2023-10-01,AMAZON,49.99,Shopping,Online purchase
2023-10-02,UBER EATS,32.50,Food & Dining,Food delivery
2023-10-03,NETFLIX,14.99,Subscriptions,Streaming service
2023-10-04,SAFEWAY,65.78,Groceries,Weekly shopping
2023-10-05,PG&E,85.45,Utilities,Electric bill
2023-10-06,CVS,15.99,Healthcare,Medicine
2023-10-07,CHEVRON,42.30,Transportation,Gas
2023-10-08,REGAL,28.00,Entertainment,Movie
2023-10-09,EXPEDIA,350.00,Travel,Flight booking
2023-10-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-10-11,SPROUTS,78.90,Groceries,Organic food
2023-10-12,ALLSTATE,95.00,Insurance,Car insurance
2023-10-13,SUPERCUTS,22.00,Personal Care,Haircut
2023-10-14,SAVE THE CHILDREN,35.00,Gifts & Donations,Charity
2023-10-15,FIDELITY,750.00,Investments,Retirement
2023-10-16,YOUTUBE,11.99,Subscriptions,Video service
2023-10-17,FEDERAL TAXES,1500.00,Taxes,Federal taxes
2023-10-18,OFFICEMAX,55.67,Business Expenses,Office supplies
2023-10-19,BANK FEE,35.00,Fees & Charges,Overdraft
2023-10-20,SAMS CLUB,120.45,Groceries,Bulk items
2023-10-21,PROGRESSIVE,75.00,Insurance,Car insurance
2023-10-22,NAIL SALON,45.00,Personal Care,Manicure
2023-10-23,DOCTORS WITHOUT BORDERS,40.00,Gifts & Donations,Charity
2023-10-24,VANGUARD,2000.00,Investments,Index fund
2023-10-25,HBO MAX,14.99,Subscriptions,Streaming service
2023-10-26,LOCAL TAXES,250.00,Taxes,Property tax
2023-10-27,AMAZON BUSINESS,120.89,Business Expenses,Office equipment
2023-10-28,WIRE FEE,25.00,Fees & Charges,International transfer
2023-10-29,AMAZON FRESH,85.67,Groceries,Grocery delivery
2023-10-30,DOORDASH,45.50,Food & Dining,Food delivery
2023-10-31,PEACOCK,4.99,Subscriptions,Streaming service
2023-11-01,AMAZON,49.99,Shopping,Online purchase
2023-11-02,UBER,15.50,Transportation,Work commute
2023-11-03,NETFLIX,14.99,Subscriptions,Monthly subscription
2023-11-04,TRADER JOE'S,85.23,Groceries,Weekly groceries
2023-11-05,COMCAST,79.99,Utilities,Internet bill
2023-11-06,CVS,32.45,Healthcare,Prescription
2023-11-07,SHELL,45.00,Transportation,Gas fill-up
2023-11-08,AMC,24.50,Entertainment,Movie night
2023-11-09,AIRBNB,125.00,Travel,Weekend getaway
2023-11-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-11-11,WHOLE FOODS,92.34,Groceries,Organic groceries
2023-11-12,STATE FARM,120.00,Insurance,Car insurance
2023-11-13,GREAT CLIPS,25.00,Personal Care,Haircut
2023-11-14,RED CROSS,50.00,Gifts & Donations,Monthly donation
2023-11-15,ROBINHOOD,500.00,Investments,Stock purchase
2023-11-16,SPOTIFY,9.99,Subscriptions,Music subscription
2023-11-17,IRS,1200.00,Taxes,Quarterly taxes
2023-11-18,OFFICE DEPOT,45.67,Business Expenses,Office supplies
2023-11-19,BANK ATM,3.00,Fees & Charges,ATM withdrawal
2023-11-20,COSTCO,150.89,Groceries,Bulk shopping
2023-11-21,GEICO,85.00,Insurance,Car insurance
2023-11-22,SPA,75.00,Personal Care,Massage
2023-11-23,UNICEF,25.00,Gifts & Donations,Charity
2023-11-24,ETRADE,1000.00,Investments,Stock investment
2023-11-25,DISNEY+,7.99,Subscriptions,Streaming service
2023-11-26,STATE TAXES,450.00,Taxes,State taxes
2023-11-27,STAPLES,89.99,Business Expenses,Office supplies
2023-11-28,CREDIT CARD,15.00,Fees & Charges,Annual fee
2023-11-29,AMAZON PRIME,12.99,Subscriptions,Prime membership
2023-11-30,LYFT,18.75,Transportation,Airport ride
2023-12-01,AMAZON,75.45,Shopping,Electronics
2023-12-02,UBER EATS,32.50,Food & Dining,Food delivery
2023-12-03,HULU,6.99,Subscriptions,Streaming service
2023-12-04,SAFEWAY,65.78,Groceries,Weekly shopping
2023-12-05,PG&E,85.45,Utilities,Electric bill
2023-12-06,WALGREENS,15.99,Healthcare,Medicine
2023-12-07,CHEVRON,42.30,Transportation,Gas
2023-12-08,REGAL,28.00,Entertainment,Movie
2023-12-09,EXPEDIA,350.00,Travel,Flight booking
2023-12-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-12-11,SPROUTS,78.90,Groceries,Organic food
2023-12-12,ALLSTATE,95.00,Insurance,Home insurance
2023-12-13,SUPERCUTS,22.00,Personal Care,Haircut
2023-12-14,SAVE THE CHILDREN,35.00,Gifts & Donations,Charity
2023-12-15,FIDELITY,750.00,Investments,Retirement
2023-12-16,YOUTUBE,11.99,Subscriptions,Video service
2023-12-17,FEDERAL TAXES,1500.00,Taxes,Federal taxes
2023-12-18,OFFICEMAX,55.67,Business Expenses,Office supplies
2023-12-19,BANK FEE,35.00,Fees & Charges,Overdraft
2023-12-20,SAMS CLUB,120.45,Groceries,Bulk items
2023-12-21,PROGRESSIVE,75.00,Insurance,Car insurance
2023-12-22,NAIL SALON,45.00,Personal Care,Manicure
2023-12-23,DOCTORS WITHOUT BORDERS,40.00,Gifts & Donations,Charity
2023-12-24,VANGUARD,2000.00,Investments,Index fund
2023-12-25,HBO MAX,14.99,Subscriptions,Streaming service
2023-12-26,LOCAL TAXES,250.00,Taxes,Property tax
2023-12-27,AMAZON BUSINESS,120.89,Business Expenses,Office equipment
2023-12-28,WIRE FEE,25.00,Fees & Charges,International transfer
2023-12-29,AMAZON FRESH,85.67,Groceries,Grocery delivery
2023-12-30,DOORDASH,45.50,Food & Dining,Food delivery
2023-12-31,PEACOCK,4.99,Subscriptions,Streaming service 
