id,date,amount,category,description,payment_method
71,2023-05-04,31.35,Transportation,Gas refill,Debit
72,2023-05-05,14.99,Entertainment,Netflix subscription,Credit
73,2023-05-07,78.95,Groceries,Bi-weekly grocery shopping,Debit
74,2023-05-07,62.40,Dining,Restaurant meal,Credit
75,2023-05-10,9.99,Entertainment,Music streaming,Credit
76,2023-05-11,39.90,Transportation,Gas refill,Debit
77,2023-05-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
78,2023-05-18,38.97,Transportation,Gas refill,Debit
79,2023-05-18,47.03,Dining,Restaurant meal,Credit
80,2023-05-20,85.50,Utilities,Internet and phone,Bank Transfer
81,2023-05-21,79.35,Groceries,Bi-weekly grocery shopping,Debit
82,2023-05-22,41.19,Dining,Restaurant meal,Credit
83,2023-05-23,101.38,Shopping,Retail purchases,Credit
84,2023-05-25,32.42,Transportation,Gas refill,Debit
85,2023-06-01,1200.00,Housing,Monthly rent payment,Bank Transfer
86,2023-06-01,342.52,Emergency,Unexpected large expense,Credit
87,2023-06-03,41.90,Dining,Restaurant meal,Credit
88,2023-06-04,79.74,Groceries,Bi-weekly grocery shopping,Debit
89,2023-06-05,14.99,Entertainment,Netflix subscription,Credit
90,2023-06-05,39.05,Transportation,Gas refill,Debit
91,2023-06-07,61.24,Dining,Restaurant meal,Credit
92,2023-06-10,9.99,Entertainment,Music streaming,Credit
93,2023-06-12,40.49,Transportation,Gas refill,Debit
94,2023-06-12,125.00,Healthcare,Doctor visit copay,Credit
95,2023-06-15,115.70,Shopping,Retail purchases,Credit
96,2023-06-18,80.13,Groceries,Bi-weekly grocery shopping,Debit
97,2023-06-18,55.72,Dining,Restaurant meal,Credit
98,2023-06-19,33.76,Transportation,Gas refill,Debit
99,2023-06-20,85.50,Utilities,Internet and phone,Bank Transfer
100,2023-06-22,42.06,Dining,Restaurant meal,Credit
101,2023-06-26,41.50,Transportation,Gas refill,Debit
102,2023-07-01,1200.00,Housing,Monthly rent payment,Bank Transfer
103,2023-07-02,80.53,Groceries,Bi-weekly grocery shopping,Debit
104,2023-07-03,39.56,Transportation,Gas refill,Debit
105,2023-07-03,47.25,Dining,Restaurant meal,Credit
106,2023-07-05,14.99,Entertainment,Netflix subscription,Credit
107,2023-07-07,63.27,Dining,Restaurant meal,Credit
108,2023-07-10,9.99,Entertainment,Music streaming,Credit
109,2023-07-10,31.77,Transportation,Gas refill,Debit
110,2023-07-12,125.00,Healthcare,Doctor visit copay,Credit
111,2023-07-15,156.00,Utilities,Quarterly utility bill,Bank Transfer
112,2023-07-16,80.93,Groceries,Bi-weekly grocery shopping,Debit
113,2023-07-17,42.20,Transportation,Gas refill,Debit
114,2023-07-18,64.45,Dining,Restaurant meal,Credit
115,2023-07-20,85.50,Utilities,Internet and phone,Bank Transfer
116,2023-07-22,45.34,Dining,Restaurant meal,Credit
117,2023-07-23,107.15,Shopping,Retail purchases,Credit
118,2023-07-24,39.64,Transportation,Gas refill,Debit
119,2023-07-25,406.35,Education,Semester expenses,Credit
120,2023-07-30,81.33,Groceries,Bi-weekly grocery shopping,Debit
121,2023-07-31,33.70,Transportation,Gas refill,Debit
122,2023-08-01,1200.00,Housing,Monthly rent payment,Bank Transfer
123,2023-08-01,619.57,Shopping,Unexpected large expense,Credit
124,2023-08-03,38.93,Dining,Restaurant meal,Credit
125,2023-08-05,14.99,Entertainment,Netflix subscription,Credit
126,2023-08-07,33.47,Transportation,Gas refill,Debit
127,2023-08-07,48.96,Dining,Restaurant meal,Credit
128,2023-08-10,9.99,Entertainment,Music streaming,Credit
129,2023-08-12,125.00,Healthcare,Doctor visit copay,Credit
130,2023-08-13,81.74,Groceries,Bi-weekly grocery shopping,Debit
131,2023-08-14,43.82,Transportation,Gas refill,Debit
132,2023-08-15,143.08,Shopping,Retail purchases,Credit
133,2023-08-18,38.51,Dining,Restaurant meal,Credit
134,2023-08-20,85.50,Utilities,Internet and phone,Bank Transfer
135,2023-08-21,30.80,Transportation,Gas refill,Debit
136,2023-08-22,51.21,Dining,Restaurant meal,Credit
137,2023-08-25,381.75,Education,Semester expenses,Credit
138,2023-08-27,82.15,Groceries,Bi-weekly grocery shopping,Debit
139,2023-08-28,40.45,Transportation,Gas refill,Debit
140,2023-09-01,1200.00,Housing,Monthly rent payment,Bank Transfer
141,2023-09-03,55.03,Dining,Restaurant meal,Credit
142,2023-09-04,32.45,Transportation,Gas refill,Debit
143,2023-09-05,14.99,Entertainment,Netflix subscription,Credit
144,2023-09-07,56.91,Dining,Restaurant meal,Credit
145,2023-09-10,82.55,Groceries,Bi-weekly grocery shopping,Debit
146,2023-09-10,9.99,Entertainment,Music streaming,Credit
147,2023-09-11,31.09,Transportation,Gas refill,Debit
148,2023-09-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
149,2023-09-18,44.32,Transportation,Gas refill,Debit
150,2023-09-18,45.23,Dining,Restaurant meal,Credit
151,2023-09-20,85.50,Utilities,Internet and phone,Bank Transfer
152,2023-09-22,57.69,Dining,Restaurant meal,Credit
153,2023-09-23,149.08,Shopping,Retail purchases,Credit
154,2023-09-24,82.96,Groceries,Bi-weekly grocery shopping,Debit
155,2023-09-25,35.73,Transportation,Gas refill,Debit
156,2023-10-01,1200.00,Housing,Monthly rent payment,Bank Transfer
157,2023-10-01,713.31,Healthcare,Unexpected large expense,Credit
158,2023-10-03,38.14,Dining,Restaurant meal,Credit
159,2023-10-05,14.99,Entertainment,Netflix subscription,Credit
160,2023-10-05,30.49,Transportation,Gas refill,Debit
161,2023-10-07,57.36,Dining,Restaurant meal,Credit
162,2023-10-08,83.38,Groceries,Bi-weekly grocery shopping,Debit
163,2023-10-10,9.99,Entertainment,Music streaming,Credit
164,2023-10-12,40.13,Transportation,Gas refill,Debit
165,2023-10-12,125.00,Healthcare,Doctor visit copay,Credit
166,2023-10-15,54.35,Shopping,Retail purchases,Credit
167,2023-10-18,43.67,Dining,Restaurant meal,Credit
168,2023-10-19,40.33,Transportation,Gas refill,Debit
169,2023-10-20,85.50,Utilities,Internet and phone,Bank Transfer
170,2023-10-22,83.79,Groceries,Bi-weekly grocery shopping,Debit
171,2023-10-22,54.12,Dining,Restaurant meal,Credit
172,2023-10-26,38.55,Transportation,Gas refill,Debit
173,2023-10-31,36.07,Transportation,Gas refill,Debit
174,2023-11-01,1200.00,Housing,Monthly rent payment,Bank Transfer
175,2023-11-03,58.98,Dining,Restaurant meal,Credit
176,2023-11-05,84.21,Groceries,Bi-weekly grocery shopping,Debit
177,2023-11-05,14.99,Entertainment,Netflix subscription,Credit
178,2023-11-07,33.52,Transportation,Gas refill,Debit
179,2023-11-07,39.22,Dining,Restaurant meal,Credit
180,2023-11-10,9.99,Entertainment,Music streaming,Credit
181,2023-11-12,125.00,Healthcare,Doctor visit copay,Credit
182,2023-11-14,41.99,Transportation,Gas refill,Debit
183,2023-11-15,168.00,Utilities,Quarterly utility bill,Bank Transfer
184,2023-11-18,41.27,Dining,Restaurant meal,Credit
185,2023-11-19,84.63,Groceries,Bi-weekly grocery shopping,Debit
186,2023-11-20,85.50,Utilities,Internet and phone,Bank Transfer
187,2023-11-21,39.35,Transportation,Gas refill,Debit
188,2023-11-22,48.56,Dining,Restaurant meal,Credit
189,2023-11-23,104.71,Shopping,Retail purchases,Credit
190,2023-11-28,41.91,Transportation,Gas refill,Debit
191,2023-12-01,1200.00,Housing,Monthly rent payment,Bank Transfer
192,2023-12-01,663.29,Travel,Unexpected large expense,Credit
193,2023-12-03,56.09,Dining,Restaurant meal,Credit
194,2023-12-03,85.06,Groceries,Bi-weekly grocery shopping,Debit
195,2023-12-05,14.99,Entertainment,Netflix subscription,Credit
196,2023-12-05,43.79,Transportation,Gas refill,Debit
197,2023-12-07,38.77,Dining,Restaurant meal,Credit
198,2023-12-10,9.99,Entertainment,Music streaming,Credit
199,2023-12-12,35.00,Transportation,Gas refill,Debit
200,2023-12-12,125.00,Healthcare,Doctor visit copay,Credit
201,2023-12-15,138.85,Shopping,Retail purchases,Credit
202,2023-12-17,85.48,Groceries,Bi-weekly grocery shopping,Debit
203,2023-12-18,51.11,Dining,Restaurant meal,Credit
204,2023-12-19,33.10,Transportation,Gas refill,Debit
205,2023-12-20,85.50,Utilities,Internet and phone,Bank Transfer
206,2023-12-22,42.65,Dining,Restaurant meal,Credit
207,2023-12-26,41.82,Transportation,Gas refill,Debit
208,2023-12-31,85.90,Groceries,Bi-weekly grocery shopping,Debit
209,2024-01-01,1200.00,Housing,Monthly rent payment,Bank Transfer
210,2024-01-01,485.84,Healthcare,Unexpected large expense,Credit
211,2024-01-02,36.10,Transportation,Gas refill,Debit
212,2024-01-03,51.18,Dining,Restaurant meal,Credit
213,2024-01-05,14.99,Entertainment,Netflix subscription,Credit
214,2024-01-07,59.23,Dining,Restaurant meal,Credit
215,2024-01-09,43.39,Transportation,Gas refill,Debit
216,2024-01-10,9.99,Entertainment,Music streaming,Credit
217,2024-01-12,125.00,Healthcare,Doctor visit copay,Credit
218,2024-01-14,86.33,Groceries,Bi-weekly grocery shopping,Debit
219,2024-01-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
220,2024-01-16,36.37,Transportation,Gas refill,Debit
221,2024-01-18,40.40,Dining,Restaurant meal,Credit
222,2024-01-20,85.50,Utilities,Internet and phone,Bank Transfer
223,2024-01-22,55.56,Dining,Restaurant meal,Credit
224,2024-01-23,59.58,Transportation,Gas refill,Debit
225,2024-01-23,121.94,Shopping,Retail purchases,Credit
226,2024-01-25,394.85,Education,Semester expenses,Credit
227,2024-01-28,86.76,Groceries,Bi-weekly grocery shopping,Debit
228,2024-01-30,36.69,Transportation,Gas refill,Debit
229,2024-02-01,1200.00,Housing,Monthly rent payment,Bank Transfer
230,2024-02-03,50.04,Dining,Restaurant meal,Credit
231,2024-02-05,14.99,Entertainment,Netflix subscription,Credit
232,2024-02-06,39.39,Transportation,Gas refill,Debit
233,2024-02-07,57.66,Dining,Restaurant meal,Credit
234,2024-02-10,9.99,Entertainment,Music streaming,Credit
235,2024-02-11,87.19,Groceries,Bi-weekly grocery shopping,Debit
236,2024-02-12,125.00,Healthcare,Doctor visit copay,Credit
237,2024-02-13,44.21,Transportation,Gas refill,Debit
238,2024-02-15,146.91,Shopping,Retail purchases,Credit
239,2024-02-18,49.19,Dining,Restaurant meal,Credit
240,2024-02-20,40.22,Transportation,Gas refill,Debit
241,2024-02-20,85.50,Utilities,Internet and phone,Bank Transfer
242,2024-02-22,43.98,Dining,Restaurant meal,Credit
243,2024-02-25,87.63,Groceries,Bi-weekly grocery shopping,Debit
244,2024-02-27,37.03,Transportation,Gas refill,Debit
245,2024-03-01,1200.00,Housing,Monthly rent payment,Bank Transfer
246,2024-03-01,778.43,Healthcare,Unexpected large expense,Credit
247,2024-03-03,38.60,Dining,Restaurant meal,Credit
248,2024-03-05,14.99,Entertainment,Netflix subscription,Credit
249,2024-03-05,35.01,Transportation,Gas refill,Debit
250,2024-03-07,61.59,Dining,Restaurant meal,Credit
251,2024-03-10,88.06,Groceries,Bi-weekly grocery shopping,Debit
252,2024-03-10,9.99,Entertainment,Music streaming,Credit
253,2024-03-12,35.05,Transportation,Gas refill,Debit
254,2024-03-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
255,2024-03-18,57.57,Dining,Restaurant meal,Credit
256,2024-03-19,31.74,Transportation,Gas refill,Debit
257,2024-03-20,85.50,Utilities,Internet and phone,Bank Transfer
258,2024-03-22,61.82,Dining,Restaurant meal,Credit
259,2024-03-23,53.98,Transportation,Gas refill,Debit
260,2024-03-23,87.42,Shopping,Retail purchases,Credit
261,2024-03-24,88.50,Groceries,Bi-weekly grocery shopping,Debit
262,2024-03-26,37.70,Transportation,Gas refill,Debit
263,2024-04-01,1200.00,Housing,Monthly rent payment,Bank Transfer
264,2024-04-03,39.77,Dining,Restaurant meal,Credit
265,2024-04-05,14.99,Entertainment,Netflix subscription,Credit
266,2024-04-05,36.74,Transportation,Gas refill,Debit
267,2024-04-07,88.94,Groceries,Bi-weekly grocery shopping,Debit
268,2024-04-07,45.20,Dining,Restaurant meal,Credit
269,2024-04-10,9.99,Entertainment,Music streaming,Credit
270,2024-04-12,38.90,Transportation,Gas refill,Debit
271,2024-04-12,125.00,Healthcare,Doctor visit copay,Credit
272,2024-04-15,142.29,Shopping,Retail purchases,Credit
273,2024-04-18,56.14,Dining,Restaurant meal,Credit
274,2024-04-19,42.29,Transportation,Gas refill,Debit
275,2024-04-20,85.50,Utilities,Internet and phone,Bank Transfer
276,2024-04-21,89.38,Groceries,Bi-weekly grocery shopping,Debit
277,2024-04-22,60.12,Dining,Restaurant meal,Credit
278,2024-04-26,43.85,Transportation,Gas refill,Debit
279,2024-05-01,1200.00,Housing,Monthly rent payment,Bank Transfer
280,2024-05-01,517.15,Shopping,Unexpected large expense,Credit
281,2024-05-03,61.91,Dining,Restaurant meal,Credit
282,2024-05-05,14.99,Entertainment,Netflix subscription,Credit
283,2024-05-05,89.83,Groceries,Bi-weekly grocery shopping,Debit
284,2024-05-05,37.68,Transportation,Gas refill,Debit
285,2024-05-07,59.36,Dining,Restaurant meal,Credit
286,2024-05-10,9.99,Entertainment,Music streaming,Credit
287,2024-05-12,44.17,Transportation,Gas refill,Debit
288,2024-05-12,125.00,Healthcare,Doctor visit copay,Credit
289,2024-05-15,156.00,Utilities,Quarterly utility bill,Bank Transfer
290,2024-05-18,50.47,Dining,Restaurant meal,Credit
291,2024-05-19,90.28,Groceries,Bi-weekly grocery shopping,Debit
292,2024-05-19,39.86,Transportation,Gas refill,Debit
293,2024-05-20,85.50,Utilities,Internet and phone,Bank Transfer
294,2024-05-22,58.70,Dining,Restaurant meal,Credit
295,2024-05-23,109.65,Shopping,Retail purchases,Credit
296,2024-05-26,42.65,Transportation,Gas refill,Debit
297,2024-06-01,1200.00,Housing,Monthly rent payment,Bank Transfer
298,2024-06-02,90.73,Groceries,Bi-weekly grocery shopping,Debit
299,2024-06-03,51.48,Dining,Restaurant meal,Credit
300,2024-06-05,14.99,Entertainment,Netflix subscription,Credit
301,2024-06-05,38.76,Transportation,Gas refill,Debit
302,2024-06-07,39.89,Dining,Restaurant meal,Credit
303,2024-06-10,9.99,Entertainment,Music streaming,Credit
304,2024-06-12,42.09,Transportation,Gas refill,Debit
305,2024-06-12,125.00,Healthcare,Doctor visit copay,Credit
306,2024-06-15,62.83,Shopping,Retail purchases,Credit
307,2024-06-16,91.19,Groceries,Bi-weekly grocery shopping,Debit
308,2024-06-18,44.62,Dining,Restaurant meal,Credit
309,2024-06-19,36.91,Transportation,Gas refill,Debit
310,2024-06-20,85.50,Utilities,Internet and phone,Bank Transfer
311,2024-06-22,59.59,Dining,Restaurant meal,Credit
312,2024-06-26,34.26,Transportation,Gas refill,Debit
313,2024-06-30,91.64,Groceries,Bi-weekly grocery shopping,Debit
314,2024-07-01,1200.00,Housing,Monthly rent payment,Bank Transfer
315,2024-07-01,711.67,Healthcare,Unexpected large expense,Credit
316,2024-07-03,43.74,Transportation,Gas refill,Debit
317,2024-07-03,57.37,Dining,Restaurant meal,Credit
318,2024-07-05,14.99,Entertainment,Netflix subscription,Credit
319,2024-07-07,47.58,Dining,Restaurant meal,Credit
320,2024-07-10,9.99,Entertainment,Music streaming,Credit
321,2024-07-10,39.85,Transportation,Gas refill,Debit
322,2024-07-12,125.00,Healthcare,Doctor visit copay,Credit
323,2024-07-14,92.10,Groceries,Bi-weekly grocery shopping,Debit
324,2024-07-15,156.00,Utilities,Quarterly utility bill,Bank Transfer
325,2024-07-17,35.26,Transportation,Gas refill,Debit
326,2024-07-18,45.47,Dining,Restaurant meal,Credit
327,2024-07-20,85.50,Utilities,Internet and phone,Bank Transfer
328,2024-07-22,50.27,Dining,Restaurant meal,Credit
329,2024-07-23,87.36,Shopping,Retail purchases,Credit
330,2024-07-24,40.48,Transportation,Gas refill,Debit
331,2024-07-25,462.96,Education,Semester expenses,Credit
332,2024-07-28,92.56,Groceries,Bi-weekly grocery shopping,Debit
333,2024-07-31,37.60,Transportation,Gas refill,Debit
334,2024-08-01,1200.00,Housing,Monthly rent payment,Bank Transfer
335,2024-08-03,48.73,Dining,Restaurant meal,Credit
336,2024-08-05,14.99,Entertainment,Netflix subscription,Credit
337,2024-08-07,35.70,Transportation,Gas refill,Debit
338,2024-08-07,58.26,Dining,Restaurant meal,Credit
339,2024-08-10,9.99,Entertainment,Music streaming,Credit
340,2024-08-11,93.02,Groceries,Bi-weekly grocery shopping,Debit
341,2024-08-12,125.00,Healthcare,Doctor visit copay,Credit
342,2024-08-14,38.68,Transportation,Gas refill,Debit
343,2024-08-15,149.83,Shopping,Retail purchases,Credit
344,2024-08-18,62.17,Dining,Restaurant meal,Credit
345,2024-08-20,85.50,Utilities,Internet and phone,Bank Transfer
346,2024-08-21,41.25,Transportation,Gas refill,Debit
347,2024-08-22,59.08,Dining,Restaurant meal,Credit
348,2024-08-25,439.72,Education,Semester expenses,Credit
349,2024-08-25,93.49,Groceries,Bi-weekly grocery shopping,Debit
350,2024-08-28,35.01,Transportation,Gas refill,Debit
351,2024-09-01,1200.00,Housing,Monthly rent payment,Bank Transfer
352,2024-09-01,678.64,Shopping,Unexpected large expense,Credit
353,2024-09-03,55.61,Dining,Restaurant meal,Credit
354,2024-09-04,42.92,Transportation,Gas refill,Debit
355,2024-09-05,14.99,Entertainment,Netflix subscription,Credit
356,2024-09-07,49.58,Dining,Restaurant meal,Credit
357,2024-09-08,93.95,Groceries,Bi-weekly grocery shopping,Debit
358,2024-09-10,9.99,Entertainment,Music streaming,Credit
359,2024-09-11,38.25,Transportation,Gas refill,Debit
360,2024-09-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
361,2024-09-18,38.95,Transportation,Gas refill,Debit
362,2024-09-18,47.37,Dining,Restaurant meal,Credit
363,2024-09-20,85.50,Utilities,Internet and phone,Bank Transfer
364,2024-09-22,94.42,Groceries,Bi-weekly grocery shopping,Debit
365,2024-09-22,54.01,Dining,Restaurant meal,Credit
366,2024-09-23,126.78,Shopping,Retail purchases,Credit
367,2024-09-25,39.78,Transportation,Gas refill,Debit
368,2024-10-01,1200.00,Housing,Monthly rent payment,Bank Transfer
369,2024-10-03,41.91,Dining,Restaurant meal,Credit
370,2024-10-05,14.99,Entertainment,Netflix subscription,Credit
371,2024-10-05,37.01,Transportation,Gas refill,Debit
372,2024-10-06,94.89,Groceries,Bi-weekly grocery shopping,Debit
373,2024-10-07,57.28,Dining,Restaurant meal,Credit
374,2024-10-10,9.99,Entertainment,Music streaming,Credit
375,2024-10-12,38.43,Transportation,Gas refill,Debit
376,2024-10-12,125.00,Healthcare,Doctor visit copay,Credit
377,2024-10-15,139.67,Shopping,Retail purchases,Credit
378,2024-10-18,51.68,Dining,Restaurant meal,Credit
379,2024-10-19,42.96,Transportation,Gas refill,Debit
380,2024-10-20,85.50,Utilities,Internet and phone,Bank Transfer
381,2024-10-20,95.37,Groceries,Bi-weekly grocery shopping,Debit
382,2024-10-22,48.72,Dining,Restaurant meal,Credit
383,2024-10-26,43.03,Transportation,Gas refill,Debit
384,2024-10-30,36.59,Transportation,Gas refill,Debit
385,2024-11-01,1200.00,Housing,Monthly rent payment,Bank Transfer
386,2024-11-01,533.26,Emergency,Unexpected large expense,Credit
387,2024-11-03,53.86,Dining,Restaurant meal,Credit
388,2024-11-03,95.84,Groceries,Bi-weekly grocery shopping,Debit
389,2024-11-05,14.99,Entertainment,Netflix subscription,Credit
390,2024-11-07,41.75,Transportation,Gas refill,Debit
391,2024-11-07,59.67,Dining,Restaurant meal,Credit
392,2024-11-10,9.99,Entertainment,Music streaming,Credit
393,2024-11-12,37.32,Transportation,Gas refill,Debit
394,2024-11-12,125.00,Healthcare,Doctor visit copay,Credit
395,2024-11-15,168.00,Utilities,Quarterly utility bill,Bank Transfer
396,2024-11-17,96.32,Groceries,Bi-weekly grocery shopping,Debit
397,2024-11-18,45.78,Dining,Restaurant meal,Credit
398,2024-11-19,40.68,Transportation,Gas refill,Debit
399,2024-11-20,85.50,Utilities,Internet and phone,Bank Transfer
400,2024-11-22,54.93,Dining,Restaurant meal,Credit
401,2024-11-23,111.58,Shopping,Retail purchases,Credit
402,2024-11-26,38.75,Transportation,Gas refill,Debit
403,2024-12-01,1200.00,Housing,Monthly rent payment,Bank Transfer
404,2024-12-01,96.80,Groceries,Bi-weekly grocery shopping,Debit
405,2024-12-03,42.86,Transportation,Gas refill,Debit
406,2024-12-03,51.79,Dining,Restaurant meal,Credit
407,2024-12-05,14.99,Entertainment,Netflix subscription,Credit
408,2024-12-07,58.34,Dining,Restaurant meal,Credit
409,2024-12-10,9.99,Entertainment,Music streaming,Credit
410,2024-12-10,43.65,Transportation,Gas refill,Debit
411,2024-12-12,125.00,Healthcare,Doctor visit copay,Credit
412,2024-12-15,130.42,Shopping,Retail purchases,Credit
413,2024-12-15,97.28,Groceries,Bi-weekly grocery shopping,Debit
414,2024-12-16,39.54,Transportation,Gas refill,Debit
415,2024-12-18,56.21,Dining,Restaurant meal,Credit
416,2024-12-20,85.50,Utilities,Internet and phone,Bank Transfer
417,2024-12-22,49.85,Dining,Restaurant meal,Credit
418,2024-12-26,41.27,Transportation,Gas refill,Debit
419,2024-12-29,97.77,Groceries,Bi-weekly grocery shopping,Debit
420,2025-01-01,1250.00,Housing,Monthly rent payment (increased),Bank Transfer
421,2025-01-01,608.13,Healthcare,Unexpected large expense,Credit
422,2025-01-02,44.87,Transportation,Gas refill,Debit
423,2025-01-03,53.24,Dining,Restaurant meal,Credit
424,2025-01-05,15.99,Entertainment,Netflix subscription (price increase),Credit
425,2025-01-07,49.76,Dining,Restaurant meal,Credit
426,2025-01-09,40.31,Transportation,Gas refill,Debit
427,2025-01-10,10.99,Entertainment,Music streaming (price increase),Credit
428,2025-01-12,125.00,Healthcare,Doctor visit copay,Credit
429,2025-01-12,98.26,Groceries,Bi-weekly grocery shopping,Debit
430,2025-01-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
431,2025-01-16,42.98,Transportation,Gas refill,Debit
432,2025-01-18,57.32,Dining,Restaurant meal,Credit
433,2025-01-20,87.50,Utilities,Internet and phone (small increase),Bank Transfer
434,2025-01-22,52.37,Dining,Restaurant meal,Credit
435,2025-01-23,98.75,Groceries,Bi-weekly grocery shopping,Debit
436,2025-01-23,41.24,Transportation,Gas refill,Debit
437,2025-01-25,118.45,Shopping,Retail purchases,Credit
438,2025-01-27,385.63,Education,Semester expenses,Credit
439,2025-01-30,43.57,Transportation,Gas refill,Debit
440,2025-02-01,1250.00,Housing,Monthly rent payment,Bank Transfer
441,2025-02-03,54.62,Dining,Restaurant meal,Credit
442,2025-02-05,15.99,Entertainment,Netflix subscription,Credit
443,2025-02-05,99.24,Groceries,Bi-weekly grocery shopping,Debit
444,2025-02-06,40.18,Transportation,Gas refill,Debit
445,2025-02-07,56.37,Dining,Restaurant meal,Credit
446,2025-02-10,10.99,Entertainment,Music streaming,Credit
447,2025-02-12,42.75,Transportation,Gas refill,Debit
448,2025-02-12,125.00,Healthcare,Doctor visit copay,Credit
449,2025-02-15,135.67,Shopping,Retail purchases,Credit
450,2025-02-18,48.93,Dining,Restaurant meal,Credit
451,2025-02-19,99.74,Groceries,Bi-weekly grocery shopping,Debit
452,2025-02-20,41.65,Transportation,Gas refill,Debit
453,2025-02-20,87.50,Utilities,Internet and phone,Bank Transfer
454,2025-02-22,55.28,Dining,Restaurant meal,Credit
